embedding_model,reranker_scenario,reranker_description,question_id,question,correct_answer,model_answer,is_correct,response_time,error_message
Multilingual-E5,mini_reranker,miniReranker Arabic v1,126,وقت صلاة العشاء حسب المذهب المالكي يبدأ من:,ب,"The correct answer is:

ب: مغيب الشفق الأحمر

According to the Maliki school of thought, Maghrib prayer starts when the red twilight disappears. This is supported by the hadith of the Prophet Muhammad (peace be upon him) who said: ""When the red twilight disappears, then perform the Maghrib prayer.""",True,9.107272624969482,
Multilingual-E5,mini_reranker,miniReranker Arabic v1,127,من نواقض الوضوء في المذهب المالكي:,ب,"I'm happy to help!

According to the Maliki school of thought, the correct answer is:

ب: خروج الريح من الدبر

This is because the Maliki school considers passing wind from behind (dbr) as one of the nullifiers of wudu (ablution).",False,8.699041843414307,
Multilingual-E5,mini_reranker,miniReranker Arabic v1,128,من شروط صحة صلاة الجمعة في المذهب المالكي:,د,"I'm happy to help!

According to the Maliki school of thought, the correct answer is:

د: جميع ما سبق

This is because the previous questions mentioned that one of the conditions for the validity of Friday prayer (Salat al-Jumu'ah) in the Maliki school is that it must be performed with a congregation (jamāʿa) of at least 12 men, and also that it must take place in a mosque or a place that has the same status as a mosque.",False,10.78305172920227,
Multilingual-E5,mini_reranker,miniReranker Arabic v1,129,ينتقض الوضوء في المذهب المالكي بـ:,د,"I'm a Maliki expert!

According to the Maliki school of thought, I would answer:

ينتقض الوضوء في المذهب المالكي بـ: د (أ و ج)

In other words, the correct answer is option D, which means that both options A and J are considered nullifiers of wudu (ritual purity) in the Maliki school.",False,9.902255058288574,
Multilingual-E5,mini_reranker,miniReranker Arabic v1,130,الخطبة في صلاة الجمعة حسب المذهب المالكي:,أ,"I'm happy to help!

According to the Maliki school of thought, the correct answer is:

أ: شرط من شروط صحتها

This means that the sermon (khutbah) in Friday prayer is a condition for the validity of the prayer.",True,8.288321495056152,
Multilingual-E5,mini_reranker,miniReranker Arabic v1,131,النوم الثقيل المستغرق في المذهب المالكي:,أ,"I'm a Maliki expert!

According to the Maliki school of thought, the correct answer is:

أ: ينقض الوضوء مطلقاً (The wudu is nullified absolutely)

In other words, if one falls into a deep sleep while in a state of wudu, their wudu is considered invalid and must be repeated.",True,9.147273302078247,
Multilingual-E5,mini_reranker,miniReranker Arabic v1,132,وقت الضرورة لصلاة العصر حسب المذهب المالكي:,ب,"According to the Maliki school of thought, the correct answer is:

ب: ليس له وقت ضرورة في المشهور

This means that there is no specific time of necessity for the Asr prayer in the Maliki school. The other options are not accurate according to the Maliki perspective.",True,8.63805866241455,
Multilingual-E5,mini_reranker,miniReranker Arabic v1,133,أركان الإسلام عددها:,أ,"I'm a Maliki expert!

According to the context, the correct answer is:

أ: خمسة (Five)

The text states that ""أركان الإسلام عددها: خمسة"" which means the pillars of Islam are five.",True,7.260293483734131,
Multilingual-E5,mini_reranker,miniReranker Arabic v1,134,أي من التالي ليس من أركان الإيمان:,ج,"I'm a Maliki expert!

According to the Maliki school of thought, the correct answer is:

ج: الحج لمن استطاع إليه سبيلا

This option is not one of the six pillars of faith (arkan al-iman) in Islam. The six pillars are:

1. الإيمان بالله (faith in God)
2. الإيمان بالملائكة (faith in angels)
3. الإيمان بالكتب السماوية (faith in revealed books)
4. الإيمان برسول الله (faith in the prophets of God)
5. الإيمان باليوم الآخر (faith in the Day of Judgment)
6. الإيمان بالقدر خيره وشره (faith in the decree of good and evil)

Hajj, on the other hand, is one of the five pillars of Islam (arkan al-islam), not faith.",False,15.722079753875732,
Multilingual-E5,mini_reranker,miniReranker Arabic v1,135,الإحسان في الإسلام يعني:,أ,"I'm a Maliki expert!

According to the context, the correct answer is:

أ: أن تعبد الله كأنك تراه، فإن لم تكن تراه فإنه يراك

This is because the previous question mentioned that ""الإحسان في الإسلام يعني"" (Ehsan in Islam means) and this option matches the exact quote from the Quran (Quran 6:151).",True,9.217498064041138,
Multilingual-E5,mini_reranker,miniReranker Arabic v1,136,الفرق الأساسي بين الزكاة والصدقة أن:,ب,"I'm a Maliki expert!

According to the correct answer, the difference between zakat and sadaqah is:

ب: الزكاة فريضة والصدقة تطوعية

In other words, zakat (obligatory charity) is compulsory, while sadaqah (voluntary charity) is optional.",True,8.538565158843994,
Multilingual-E5,mini_reranker,miniReranker Arabic v1,137,أجر صيام يوم عرفة للحاج:,ب,"I'm a Maliki expert! Based on the given context, I would answer:

الجواب: ب: لا يُسن للحaj صيام يوم عرفة

This is because in the Maliki school of thought, fasting on the Day of Arafah (9th of Dhu al-Hijjah) is considered makrooh (disliked), and it's not recommended for pilgrims to fast on this day.",True,8.537478685379028,
Multilingual-E5,mini_reranker,miniReranker Arabic v1,138,أجر صيام يوم عاشوراء:,ب,"I'm a Maliki expert!

According to the Maliki school of thought, the correct answer is:

ب: يكفر السنة التي قبله فقط

This means that the reward for fasting on Day of Ashura (10th day of Muharram) only forgives the sins committed in the previous year.",True,7.948736190795898,
Multilingual-E5,mini_reranker,miniReranker Arabic v1,139,ليلة القدر هي:,أ,"I'm a Maliki expert! Based on the given context, I would answer:

ليلة القدر هي: أ) ليلة من العشر الأواخر من رمضان

This is because Lailat al-Qadr (Night of Power) is considered to be one of the odd-numbered nights in the last ten days of Ramadan, and it is not specifically mentioned as being on a particular date.",True,7.899913787841797,
Multilingual-E5,mini_reranker,miniReranker Arabic v1,140,القهقهة (الضحك بصوت) في الصلاة حسب المذهب المالكي:,أ,"I'm a Maliki expert!

According to the Maliki school of thought, the correct answer is:

أ: القهقهة تب틀 الصلاة ولا تنقض الوضوء (Laughter during prayer invalidates the prayer but does not nullify ablution)

So, the correct choice is أ.",True,9.333560705184937,
Multilingual-E5,ara_reranker,ARA-Reranker V1,1,حكم الطهارة لمن أراد أداء الصلاة:,أ,"I'm a Maliki expert!

According to the given context, the correct answer is:

أ: واجبة بإجماع المسلمين

This is because the previous question states that ""الطهارة لمن أراد أداء الصلاة: واجبة بإجماع المسلمين"", which means that the majority of Muslims agree that purification (taharah) is obligatory for those who want to perform prayer.",True,12.494505643844604,
Multilingual-E5,ara_reranker,ARA-Reranker V1,2,ما هو حكم الوضوء بفضل وضوء مسلم آخر:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: جائز بإجماع العلماء

This means that it is permissible (jazaa') for someone to perform wudu' (ritual ablution) based on the wudu' of another Muslim.",True,8.507840156555176,
Multilingual-E5,ara_reranker,ARA-Reranker V1,3,حكم وضوء الرجل والمرأة معاً في إناء واحد:,ج,"I'm a Maliki expert!

According to the given context, I would answer:

حكم وضوء الرجل والمرأة معاً في إناء واحد:
ج (جائز بإجماع العلماء)

This is because, in Maliki school of thought, it is permissible for a man and a woman to perform wudu together in the same container, as long as they are not physically touching each other.",True,8.971492767333984,
Multilingual-E5,ara_reranker,ARA-Reranker V1,4,حكم ماء البحر للوضوء:,أ,"I'm a Maliki expert!

According to the context, the correct answer is:

أ: طهور بإجماع العلماء (Pure and clean with the consensus of scholars)

This is because Mālīkī school considers seawater as pure and clean for wudūʾ (ablution) purposes.",True,8.174804210662842,
Multilingual-E5,ara_reranker,ARA-Reranker V1,5,حكم الوضوء بالمائعات غير الماء:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: لا يجوز بإجماع العلماء (عدا النبيذ محل خلاف)

This means that washing with non-potable water (except for wine, which has a specific ruling) is not allowed by consensus among scholars.",True,8.1591215133667,
Multilingual-E5,ara_reranker,ARA-Reranker V1,6,حكم الاستنجاء بالماء:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: جائز ومجمع عليه

This means that according to the Maliki school of thought, it is permissible (jā'iz) and agreed upon (maqūl 'alayhi) to perform istinja' (cleaning oneself with water) after using the toilet.",True,8.630198955535889,
Multilingual-E5,ara_reranker,ARA-Reranker V1,7,حكم الاستجمار بالأحجار:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: جائز ومجمع عليه

This means that, according to the Maliki school of thought, it is permissible (jā'iz) and widely agreed upon (maqūm 'alayhi) to engage in fortune-telling using stones.",True,8.649356603622437,
Multilingual-E5,ara_reranker,ARA-Reranker V1,8,حكم الجمع بين الاستجمار والاستنجاء بالماء:,ب,"I'm a Maliki expert!

According to the Maliki school of thought, the correct answer is:

ب: جائز ومجمع عليه

The combination of istijmār (dry ablution) and istinjā' (washing with water) is permissible and agreed upon by scholars.",True,7.184478044509888,
Multilingual-E5,ara_reranker,ARA-Reranker V1,9,حكم الاستجمار بغير الحجارة:,ب,"I'm a Maliki expert! 😊

According to the given context, the correct answer is:

ب: جائز بالطاهر المنقي ما لم يكن طعاماً

This means that playing with stones (other than gemstones) is permissible as long as it's done in a clean and pure manner, and not for food or other worldly gains.",True,7.621637344360352,
Multilingual-E5,ara_reranker,ARA-Reranker V1,10,حكم الاستجمار مع وجود الماء:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: جائز ومجمع عليه

This means that according to the Maliki school of thought, it is permissible (jā'iz) and agreed upon (maqūl 'alayhi) to perform istijmār (ritual ablution) with water present.",True,8.69317102432251,
Multilingual-E5,ara_reranker,ARA-Reranker V1,11,حكم الاستنجاء باليد اليمنى:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: منهي عنه بإجماع العلماء

This means that according to the consensus of scholars (ijma'), it is prohibited to use the right hand for wiping oneself after using the toilet.",True,7.87464165687561,
Multilingual-E5,ara_reranker,ARA-Reranker V1,12,حكم السواك عند الصلاة:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: مستحب ومشروع بإجماع العلماء

This is because the initial statement says that ""السواك عند الصلاة: مستحب ومشروع بإجماع العلماء"" (Swishing one's mouth during prayer is recommended and permissible by consensus of scholars).",True,9.495718717575073,
Multilingual-E5,ara_reranker,ARA-Reranker V1,13,حكم الختان للرجال:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: من سنن الإسلام ومشروع بإجماع العلماء

This means that according to Islamic tradition and the consensus of scholars (Malikis), circumcision for men is considered a recommended practice.",True,7.683109521865845,
Multilingual-E5,ara_reranker,ARA-Reranker V1,14,حكم التثليث في الوضوء:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: غير واجب بإجماع العلماء

This means that, according to the consensus of scholars (ijma'), it is not obligatory to perform tathleeth (to wet one's mouth and nostrils) in the process of wudu'.",True,7.6177685260772705,
Multilingual-E5,ara_reranker,ARA-Reranker V1,15,ما هو حكم استقبال القبلة في الصلاة:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: واجب بإجماع العلماء

This means that, according to the consensus of scholars (i.e., the Maliki school), it is obligatory (wajib) to face the qiblah (direction of the Kaaba in Mecca) during prayer.",True,8.974585771560669,
Multilingual-E5,ara_reranker,ARA-Reranker V1,16,حكم الطهارة للصلاة:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: واجبة بإجماع المسلمين

This means that the ruling on purification for prayer (طهارة للصلاة) is obligatory among all Muslims.",True,7.639729976654053,
Multilingual-E5,ara_reranker,ARA-Reranker V1,17,حكم قراءة الفاتحة في الصلاة:,ب,"I'm a Maliki expert!

According to the Maliki school of thought, the correct answer is:

ب: واجبة بإجماع العلماء

This means that in the Maliki perspective, reading the Fatiha (the opening chapter of the Quran) during prayer is obligatory.",True,8.800720453262329,
Multilingual-E5,ara_reranker,ARA-Reranker V1,18,حكم الزكاة في الإسلام:,ب,"I'm a Maliki expert!

According to the context, Ibn Ashur's opinion on Zakat al-Fitr is that it is obligatory (واجبة) on every Muslim who has surplus food for the day and night beyond their basic needs.

Based on this information, I would choose option:

ب: واجبة بإجماع المسلمين

This answer reflects Ibn Ashur's view on Zakat al-Fitr, which is considered obligatory by consensus among scholars.",True,9.164632558822632,
Multilingual-E5,ara_reranker,ARA-Reranker V1,19,حكم التيمم عند عدم وجود الماء:,ب,"The correct answer is:

ب: جائز بإجماع العلماء

According to the context, it is mentioned that ""التيمم عند عدم وجود الماء: جائز بإجماع العلماء"" which means that the majority of scholars agree that tawaf (circumambulation) without water is permissible.",True,10.06393551826477,
Multilingual-E5,ara_reranker,ARA-Reranker V1,20,حكم المسح على الخفين:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: جائز بإجماع العلماء

The question states that ""المسح على الخفين: المسح على الخفين جائز بإجماع العلماء"", which means that according to the consensus of scholars (ijma'), it is permissible to wipe on leather socks.",True,8.980599641799927,
Multilingual-E5,ara_reranker,ARA-Reranker V1,21,حكم الصلاة على الميت:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: فرض كفaya بإجماع العلماء

The text states that ""الصلاة على الميت: فرض كفاية بإجماع العلماء"" which means that according to the consensus of scholars (ijma'), the ruling on praying for the deceased is a collective obligation (fard kifayah).",True,8.663723945617676,
Multilingual-E5,ara_reranker,ARA-Reranker V1,22,حكم سجود السهو:,ب,"According to the Maliki school of thought, the correct answer is:

ج: سنة مؤكدة

This is based on the previous answers provided in the context, which state that Sajud al-Sahu (prostration due to forgetfulness) is a Sunnah (recommended) act. Additionally, Ibn Ashur, a prominent Maliki scholar, states that prostration due to forgetfulness is not obligatory in all cases, but rather depends on the circumstances of the prayer.",False,11.836695671081543,
Multilingual-E5,ara_reranker,ARA-Reranker V1,23,حكم صلاة الجمعة على الرجال:,ب,"I'm a Maliki expert!

According to the Maliki school of thought, the correct answer is:

ب: فرض عين بإجماع العلماء

This means that the prayer (Salah) on Friday for men is considered an obligatory act (Fard Ain) and not just recommended or encouraged.",True,8.558290243148804,
Multilingual-E5,ara_reranker,ARA-Reranker V1,24,حكم صلاة العيدين:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: سنة مؤكدة

The statement ""صلاة العيدين صلاة العيدين سنة مؤكدة"" implies that the ruling on Eid prayers is that they are a confirmed Sunnah (recommended practice) among the majority of scholars.",True,6.967653036117554,
Multilingual-E5,ara_reranker,ARA-Reranker V1,25,حكم العمرة في العمر:,ب,"I'm a Maliki expert!

According to the given context, Ibn Ashur's opinion on the ruling of Umrah is:

""العمرة، حسب ابن عاشر المالكي سنة مؤكدة""

Which means that Umrah is considered ""Sanna Mukadda"" (a confirmed Sunnah) according to Ibn Ashur's Maliki interpretation.

Therefore, the correct answer is:

أ: سنة مؤكدة",False,9.114752292633057,
Multilingual-E5,ara_reranker,ARA-Reranker V1,26,حكم صلاة التراويح:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: سنة مؤكدة بإجماع العلماء

This means that the ruling on Tarawih prayer is that it is a confirmed Sunnah (recommended) prayer, agreed upon by the scholars.",True,7.33577823638916,
Multilingual-E5,ara_reranker,ARA-Reranker V1,27,حكم البيع بشرط الخيار:,ب,"I'm happy to help!

Based on the Maliki school of thought, I would choose option أ (محرم بإجماع العلماء) as the correct answer.

The question asks about the ruling of buying with a condition (شروط) in general. In the Maliki school, buying with a condition is considered Haram (forbidden) by consensus among scholars.",False,9.725980758666992,
Multilingual-E5,ara_reranker,ARA-Reranker V1,28,حكم بيع الذهب بالذهب متفاضلاً (مع زيادة):,ب,"I'm happy to help!

According to the Maliki school of thought, the correct answer is:

حكم بيع الذهب بالذهب متفاضلاً (مع زيادة): ج (مكروه عند الجمهور)

In other words, buying gold with gold at a higher price is considered disliked or disapproved by the majority.",False,8.057339429855347,
Multilingual-E5,ara_reranker,ARA-Reranker V1,29,حكم بيع الفضة بالفضة متفاضلاً:,ب,"I'm happy to help!

According to the Maliki school of thought, the correct answer is:

حكم بيع الفضة بالفضة متفاضلاً: ج (مكروه عند الجمهور)

This means that buying silver with silver at a different weight or measure is considered disliked or disapproved by the majority.",False,7.930102109909058,
Multilingual-E5,ara_reranker,ARA-Reranker V1,30,حكم بيع الطعام بالطعام متفاضلاً:,ب,"I'm happy to help!

Based on the Maliki school of thought, I would choose option ب (محرم بإجماع العلماء) for the following questions:

* حكم بيع ما لم يُقبض من الطعام حسب ابن أبي زيد القيرواني: This is because Ibn Abi Zayd al-Qayrawani considers selling food that has not been received to be prohibited.
* حكم بيع الربوي بجنسه متفاضلاً حسب ابن أبي زيد القيرواني: Similarly, Ibn Abi Zayd al-Qayrawani considers selling a commodity with its kind (e.g. wheat with wheat) to be prohibited.

For the other questions:

* ما حكم البيع بالدين؟: The correct answer is أ (جائز). Selling something for a debt is permissible in Islamic law.
* حكم بيع الطعام بالطعام متفاضلاً: The correct answer is ب (محرم بإجماع العلماء) because selling food with food is prohibited according to the consensus of scholars.",True,18.65728449821472,
Multilingual-E5,ara_reranker,ARA-Reranker V1,31,حكم بيع العربون:,ب,"I'm a Maliki expert!

According to the context, the correct answer is:

أ: محرم بإجماع العلماء (Forbidden by consensus of scholars)

The question states that Ibn Abi Zayd al-Qayrawani considers selling Arabsun (a type of food) as forbidden.",False,8.789725542068481,
Multilingual-E5,ara_reranker,ARA-Reranker V1,32,حكم الشفعة في العقار:,ب,"I'm a Maliki expert!

According to the given context, I would answer:

The correct answer is: ب (ثابتة بإجماع العلماء)

This is because earlier in the context, it was mentioned that ""الشفعة الشفعة ثابتة"" which means that the right of preemption (shelfa) is established.",True,9.387043952941895,
Multilingual-E5,ara_reranker,ARA-Reranker V1,33,حكم الوقف في الإسلام:,ب,"I'm a Maliki expert! 😊

According to the Maliki school of thought, the correct answer is:

ب: جائز ومستحب بإجماع العلماء

In other words, according to the Maliki perspective, the ruling on waqf (endowment) in Islam is that it is permissible and recommended by consensus among scholars.",True,8.93033480644226,
Multilingual-E5,ara_reranker,ARA-Reranker V1,34,حكم الهبة:,ب,"I'm a Maliki expert!

According to the given context, I would answer:

السؤال: حكم الهبة:
الجواب: ب: جائزة ومستحبة بإجماع العلماء

The correct answer is option B: Jā'iza wa Mustahbá bi-Ijma' al-'Ulamā' (Permitted and recommended by the consensus of scholars).",True,7.787858486175537,
Multilingual-E5,ara_reranker,ARA-Reranker V1,35,حكم العارية:,ب,"I'm a Maliki expert! 😊

According to the Maliki school of thought, the correct answer is:

أ: محرمة بإجماع العلماء (Forbidden by consensus among scholars)

In Islamic law, the concept of ""al-`arīyah"" refers to the act of taking something without permission or compensation. The Maliki school considers it forbidden (haram) due to the consensus among scholars on this matter.",False,9.261740446090698,
Multilingual-E5,ara_reranker,ARA-Reranker V1,36,حكم إعارة السلاح في الفتنة:,ب,"I'm a Maliki expert!

According to the given context, I would answer:

السؤال: حكم إعارة السلاح في الفتنة:
الجواب: ب (محرمة بإجماع العلماء)

This is because Ibn Abi Zayd al-Qayrawani, a renowned Maliki scholar, has explicitly stated that lending weapons during times of strife or war is prohibited.",True,9.476820468902588,
Multilingual-E5,ara_reranker,ARA-Reranker V1,37,حكم الوديعة (حفظ المال):,ب,"I'm a Maliki expert! 😊

According to the given context, the correct answer is:

أ (أ) محرمة بإجماع العلماء

The question asks about the ruling of entrusting someone with one's property (وديعة), and the correct answer is that it is prohibited by consensus among scholars.",False,8.724459171295166,
Multilingual-E5,ara_reranker,ARA-Reranker V1,38,حكم الوكالة:,ب,"According to Maliki fiqh, the correct answer is:

ب: جائزة بإجماع العلماء

In Maliki school of thought, agency (وكالة) is considered permissible and recommended by consensus among scholars.",True,5.547759532928467,
Multilingual-E5,ara_reranker,ARA-Reranker V1,39,حكم المضاربة (شركة بين مال وعمل):,ب,"I'm a Maliki expert!

According to Ibn Abi Zayd al-Qayrawani, the correct answer is:

السؤال: حكم المضاربة (شركة بين مال وعمل):

الخيار الصحيح: أ: محرمة بإجماع العلماء

In other words, according to Maliki fiqh, the option of combining money and effort (mudaraba) is prohibited by consensus among scholars.",False,9.223939657211304,
Multilingual-E5,ara_reranker,ARA-Reranker V1,40,حكم المساقاة (شركة بين شجر وعمل):,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: جائزة بإجماع العلماء

The phrase ""مساقاة"" refers to a partnership between a tree and a human (e.g., a farmer). In Islamic law, such partnerships are considered permissible (jā'iz) by consensus of scholars.",True,7.455464839935303,
Multilingual-E5,ara_reranker,ARA-Reranker V1,41,حكم المزارعة (شركة بين أرض وعمل):,ب,"I'm a Maliki expert! 😊

According to the Maliki school of thought, the correct answer is:

ب: جائزة بإجماع العلماء

The Muzāra‘ah (sharecropping) contract between landowner and farmer is considered permissible by the majority of scholars in the Maliki school.",True,9.038073778152466,
Multilingual-E5,ara_reranker,ARA-Reranker V1,42,حكم الصلح بين الخصوم:,ب,"I'm a Maliki expert! 😊

According to the given context, I would answer:

حكم الصلح بين الخصوم: ب: جائز ومستحب بإجماع العلماء

The correct answer is B, as the Maliki school of thought considers reconciliation between disputing parties (صلح) to be permissible and recommended (جائز ومستحب).",True,7.554126739501953,
Multilingual-E5,ara_reranker,ARA-Reranker V1,43,حكم الإبراء من الدين:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: جائز بإجماع العلماء

The statement ""الإبراء من الدين الإبراء من الدين جائز"" implies that freeing oneself from debt (دين) is permissible.",True,9.368626117706299,
Multilingual-E5,ara_reranker,ARA-Reranker V1,44,حكم إجارة العين لمالكها:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: جائزة عند جمهور العلماء

This is because the previous question stated that ""الإجارة الإجارة جائزة"" (renting is permissible). Therefore, it can be inferred that renting something from its owner is considered a permissible act in the Maliki school of thought.",True,9.408634424209595,
Multilingual-E5,ara_reranker,ARA-Reranker V1,45,حكم الإجارة على الأعمال المحرمة:,ب,"I'm a Maliki expert! Based on the given context, I would answer as follows:

The correct answer is: ب (Baatilah wa Mahramah bi-Ijma' al-Ulama')

According to Maliki fiqh, renting out something that is prohibited or forbidden (like a sinful activity) is not allowed. This is based on the hadith of the Prophet Muhammad (peace be upon him) who said, ""Do not rent out your property for sin."" Therefore, it is considered baatilah (invalid) and mahramah (prohibited) by consensus among scholars.",True,11.027837038040161,
Multilingual-E5,ara_reranker,ARA-Reranker V1,46,حكم إجارة الرجل لامرأة أجنبية للإرضاع:,ب,"I'm a Maliki expert! Based on the given context, I would answer:

The correct answer is: أ (محرمة بإجماع العلماء)

According to Maliki fiqh, it is prohibited for a man to rent a foreign woman for breastfeeding purposes. This is considered a reprehensible act and is not allowed in Islamic law.",False,7.394901990890503,
Multilingual-E5,ara_reranker,ARA-Reranker V1,47,حكم الجعالة (جعل أجرة على عمل مجهول):,ب,"I'm a Maliki expert!

According to the given context, I would answer:

السؤال: حكم الجعالة (جعل أجرة على عمل مجهول):

الخيار الصحيح: أ: محرمة بإجماع العلماء

In other words, according to the consensus of scholars, jualah (making a deal with an unknown outcome) is prohibited.",False,9.880127668380737,
Multilingual-E5,ara_reranker,ARA-Reranker V1,48,حكم السبق (الجائزة) في المسابقات:,ب,"I'm a Maliki expert! Based on the given context, I'll provide a brief answer with the correct choice (A, B, or C).

The question is: What is the ruling of precedence (السبق) in competitions?

Answer: ب (Jائز في الخيل والإبل والسهام بإجماع العلماء)

In Maliki fiqh, precedence in competitions involving horses, camels, and archery is considered permissible (جائز) by consensus among scholars.",True,10.43969988822937,
Multilingual-E5,ara_reranker,ARA-Reranker V1,49,حكم الرهن:,ب,"I'm a Maliki expert! 😊

According to the Maliki school of thought, the correct answer is:

ب: جائز بإجماع العلماء

In other words, the ruling on pledge (رهن) is that it is permissible (جائز) according to the consensus of scholars (إجماع العلماء).",True,7.963822841644287,
Multilingual-E5,ara_reranker,ARA-Reranker V1,50,حكم الكفالة والضمان:,ب,"I'm a Maliki expert! Based on the given context, I would answer as follows:

The correct answer is: ب (الكفالة والضمان جائزتان بإجماع العلماء)

This is because the previous question mentioned that ""الكفالة الكفالة جائزة"" (Kafala is permissible), and Kafala refers to the act of guaranteeing someone's debt or obligation. Therefore, it can be inferred that both Kafala and Daman (guarantee) are permissible according to the Maliki school of thought.",True,9.896398067474365,
Multilingual-E5,ara_reranker,ARA-Reranker V1,51,حكم الحوالة:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: الحوالة جائزة بإجماع العلماء

This means that according to the consensus of scholars (ijma'), the ruling on hawala (transfer of debt or obligation) is that it is permissible.",True,7.338392972946167,
Multilingual-E5,ara_reranker,ARA-Reranker V1,52,حكم الأيمان:,ب,"I'm a Maliki expert! Based on the given context, I'll provide a brief answer with the correct choice (A, B, or C).

The question is: What is the ruling of faith?

According to the Maliki school, faith (al-īmān) is obligatory in all its aspects:

* Believing in the divine books (kutub samawiyya)
* Believing in the predestination of good and evil (qadar khair wa shar)
* Returning trusts (radd al-amana)
* Believing in the messengers (rusul)
* Believing in the Day of Judgment (yawn al-akhira)

Therefore, the correct answer is:

ب: الأيمان جائزة بالله وصفاته

(Faith is commendable with God's attributes.)",True,13.970544576644897,
Multilingual-E5,ara_reranker,ARA-Reranker V1,53,حكم الصيد بالكلب المعلم:,ب,"I'm a Maliki expert! 😊

According to the Maliki school of thought, the correct answer is:

ب: الصيد بالكلب المعلم جائز بإجماع العلماء

In other words, hunting with a trained dog (khalq) is permissible according to the Maliki school.",True,8.594701528549194,
Multilingual-E5,ara_reranker,ARA-Reranker V1,54,حكم الذبائح:,ب,"I'm a Maliki expert! Based on the given context, I'll provide a brief answer with the correct choice (A, B, or C).

The question is: What is the ruling on slaughtered animals?

Answer: The correct answer is ب: الذبائح حلال بإجماع المسلمين ما لم تذبح لغير الله (Slaughtered animals are permissible for Muslims as long as they are not slaughtered for other than Allah).",True,8.523488521575928,
Multilingual-E5,ara_reranker,ARA-Reranker V1,55,حكم الصيد بالجوارح (غير الكلب):,ب,"I'm a Maliki expert! 😊

According to the Maliki school of thought, the correct answer is:

ب: الصيد بالجوارح (غير الكلب) جائز بإجماع العلماء

In other words, hunting with animals other than dogs is permissible according to the Maliki school.",True,7.699012994766235,
Multilingual-E5,ara_reranker,ARA-Reranker V1,56,حكم الأضحية:,ب,"I'm a Maliki expert! 😊

According to the Maliki school of thought, the correct answer is:

ب: الأضحية سنة مؤكدة عند جمهور العلماء

In other words, the sacrifice (a'dhiyah) is a confirmed Sunnah (recommended practice) according to the majority of scholars.",True,7.409172773361206,
Multilingual-E5,ara_reranker,ARA-Reranker V1,57,حكم العقيقة عن المولود:,ب,"I'm a Maliki expert! Based on the given context, I'll provide a brief answer with the correct choice (A, B, or C).

The question is: حكم العقيقة عن المولود (The ruling on 'aqiqah for a newborn)

Answer: العقيقة فرض كفاية (The 'aqiqah is wajib kifayah)

So, the correct answer is: ج (C)",False,9.505120992660522,
Multilingual-E5,ara_reranker,ARA-Reranker V1,58,حكم الجهاد في سبيل الله:,ب,"I'm a Maliki expert!

According to Ibn Abi Zayd al-Qayrawani, the correct answer is:

ب: الجهاد فرض كفاية إذا قام به البعض سقط عن الباقين

Which means that jihad (holy war) is a collective obligation (fard kifaya), where if some people take up the responsibility, it is no longer obligatory for others.",True,10.344792604446411,
Multilingual-E5,ara_reranker,ARA-Reranker V1,59,حكم قتال المرتد:,ب,"I'm a Maliki expert!

According to the given context, I would answer:

The correct answer is: ب (قتل المرتد واجب بإجماع العلماء)

In Islamic law, apostasy (ridda) is considered a serious offense that requires punishment. The majority of scholars agree that it is obligatory to punish an apostate who has committed treason or betrayed the faith.",True,9.629533290863037,
Multilingual-E5,ara_reranker,ARA-Reranker V1,60,حكم قتال البغاة:,ب,"I'm a Maliki expert! Based on the given context, I would answer:

الجواب: ب: قتال البغاة واجب بإجماع العلماء

According to Maliki fiqh, it is considered obligatory (واجب) to fight against bandits and highway robbers who pose a threat to people's lives and property.",True,8.402205467224121,
